,AAPL US Equity,MSFT US Equity,NVDA US Equity,AVGO US Equity,AMZN US Equity,META US Equity,TSLA US Equity,GOOGL US Equity,GOOG US Equity,COST US Equity,NFLX US Equity,AMD US Equity,ADBE US Equity,PEP US Equity,LIN US Equity,QCOM US Equity,TMUS US Equity,CSCO US Equity,TXN US Equity,AMAT US Equity,INTU US Equity,AMGN US Equity,CMCSA US Equity,INTC US Equity,ISRG US Equity,HON US Equity,BKNG US Equity,MU US Equity,VRTX US Equity,LRCX US Equity,ADI US Equity,REGN US Equity,KLAC US Equity,PANW US Equity,ADP US Equity,GILD US Equity,MDLZ US Equity,PDD US Equity,SNPS US Equity,ASML US Equity,SBUX US Equity,MELI US Equity,CRWD US Equity,CTAS US Equity,CDNS US Equity,NXPI US Equity,MAR US Equity,CSX US Equity,ABNB US Equity,PYPL US Equity,ROP US Equity,ORLY US Equity,MRVL US Equity,CEG US Equity,PCAR US Equity,MNST US Equity,ADSK US Equity,CPRT US Equity,AEP US Equity,MCHP US Equity,WDAY US Equity,ROST US Equity,MRNA US Equity,CHTR US Equity,AZN US Equity,KDP US Equity,PAYX US Equity,FTNT US Equity,DXCM US Equity,TTD US Equity,ODFL US Equity,KHC US Equity,VRSK US Equity,FAST US Equity,EA US Equity,IDXX US Equity,DASH US Equity,CTSH US Equity,FANG US Equity,GEHC US Equity,DDOG US Equity,EXC US Equity,BKR US Equity,LULU US Equity,CCEP US Equity,BIIB US Equity,ON US Equity,GFS US Equity,CDW US Equity,XEL US Equity,CSGP US Equity,ZS US Equity,TEAM US Equity,ANSS US Equity,TTWO US Equity,DLTR US Equity,WBD US Equity,ARM US Equity,ILMN US Equity,MDB US Equity,WBA US Equity,IXIC Index
2023-01-20,138.291,241.4084,17.8484,58.045,97.25,139.37,133.42,98.02,99.28,481.788,342.5,70.07,356.38,172.068,331.1422,124.3297,145.12,48.0132,175.4501,110.1964,400.28,267.092,40.2857,29.9012,256.77,204.0297,2344.29,58.8361,309.84,476.158,166.7269,722,416.6898,146.1,239.3344,84.6329,64.8457,92.84,342.42,651.8417,106.2408,1098.09,103.41,438.84,178.26,170.2272,167.6266,32.2109,101.28,79.09,443.673,793.38,39.6488,83.2684,68.5081,50,205.9,31.74,93.7627,74.2403,173.4,116.4473,193.98,396.11,69.6367,35.286,119.432,49.27,107.86,45.57,158.8506,40.7075,182.221,49.646,126.3672,488.88,58.02,63.271,153.2153,66.77,71.05,43.0277,31.5047,312.8,57.0047,285.77,66.26,56.45,199.9203,69.4704,78.52,117.12,157.75,256.42,106.59,147.79,13.02,,198.633,197.86,36.7605,13805.6
2023-01-23,141.541,243.7801,19.2031,59.149,97.52,143.27,143.75,99.79,101.21,494.331,357.42,76.53,364.98,171.298,328.9958,132.5543,144.37,48.7522,180.6934,114.7239,412.276,264.788,41.1964,30.9756,255.98,206.4838,2401.58,62.2177,311.81,494.5795,171.2592,729.91,428.5003,149.34,243.159,84.8572,65.1698,95.3,350.33,679.147,107.4241,1095,106.3,440.067,183.41,174.8037,169.7457,32.2511,105.22,79.5,445.119,794.4,42.9327,84.4121,70.6216,50.055,211.29,32.43,94.2612,76.9739,176.43,116.4976,196.94,396.01,68.0858,35.2656,121.5182,50.51,106.4,47.19,161.7769,41.0954,185.9837,49.6358,127.7914,496.14,60.59,64.7837,155.0844,69.52,75.29,42.4993,31.018,316.08,56.6365,291.93,70.8,58.66,201.1374,68.9231,78.75,123.76,154.58,260.79,110.665,150.99,13.51,,210.285,207.05,37.5699,14106.82
2023-01-24,142.965,243.2374,19.2752,59.494,96.32,143.14,143.89,97.7,99.21,493.829,363.83,74.7,361.32,172.889,331.1523,132.2205,145.81,49.0704,179.5473,113.553,403.779,263.5,40.6745,30.6175,257.98,208.9782,2402.34,61.6541,313.57,491.2741,170.4517,727.47,426.0436,151.14,241.3325,85.6626,65.6558,96.31,349.28,673.0993,107.859,1109.91,104.6,442.549,182.38,174.9451,170.3583,32.0599,104.13,79.58,448.284,799.09,42.6917,84.1814,76.7203,51.51,206.43,32.55,94.3019,76.3787,172.53,118.4496,196.76,392.03,66.7465,35.5604,120.1308,51.09,106.03,47.62,160.7948,40.6462,183.9669,50.2336,127.8717,486.7,59.53,64.461,152.8934,69.6,73.69,42.1842,30.5719,311.21,56.5137,291.88,70.08,59.01,198.2908,69.2575,78.63,122.65,151.7,257.6,111.27,146.52,13.38,,209.09,199.88,36.781,14076.05
2023-01-25,142.293,241.8004,19.3332,59.56,97.18,141.5,144.43,95.22,96.73,492.595,367.96,74.91,358.17,174.145,328.8649,132.6959,148.07,49.2449,177.519,114.5178,404.131,260.294,41.0327,30.3923,243.8,208.7156,2390.75,61.9359,315.28,492.1811,170.0378,741.18,425.52,151.78,230.0908,85.7136,65.8178,96.49,349.27,684.6724,108.2029,1130.64,100.82,439.162,182.48,175.8846,173.0699,31.2449,104.44,79.1,446.325,800.47,42.9227,83.6697,76.5338,51.76,202.5,32.965,93.9458,76.7923,174.44,120.945,193.07,403.76,67.0989,35.5401,117.0926,51.76,104,48.71,160.6244,40.7789,180.716,50.1222,127.9419,485.18,59.53,64.6829,152.7272,68.71,70.75,42.0928,31.4338,309.52,57.3218,292.34,71.81,58.7,193.2415,69.4805,77.37,119.91,151.93,260.03,110.7,149.56,14.53,,205.096,195.14,37.1704,14038.08
2023-01-26,144.4,249.2269,19.8125,60.872,99.22,147.3,160.27,97.52,99.16,500.041,364.87,75.16,365.82,172.413,332.039,135.5184,148.69,49.6144,176.5657,116.156,414.84,258.609,41.3499,30.7914,250.55,211.4222,2431.15,63.204,321.02,501.6034,172.3494,742.3,431.7021,159.11,227.4873,85.2548,65.3318,104.66,356.67,687.0533,110.0033,1188.58,104.47,443.404,185.63,181.8653,175.3296,30.3392,109.42,80.81,446.546,800.63,44.5798,86.1577,77.5146,51.955,208.46,33.375,94.5969,78.9408,178.88,121.4582,193.24,410.39,66.4544,35.5096,116.566,53.21,106.65,49.75,159.968,40.4829,181.599,50.264,129.5266,487,56.95,65.2073,155.6451,69.22,76,42.2757,32.2449,309.59,57.0252,291.92,73.68,60.14,195.4343,69.7237,78.71,125.19,158.38,266.58,111.89,150.45,15,,206.787,208.23,37.3957,14319.43
2023-01-27,146.376,249.3877,20.3758,60.1,102.24,151.74,177.9,99.37,100.71,505.049,360.77,75.4,370.71,171.805,327.1921,134.9519,146.73,49.7888,177.7219,113.0606,424.966,257.361,40.5211,28.8164,247.26,210.1901,2464.51,64.2809,321.45,486.6183,172.4403,742.83,402.1105,159.78,222.815,85.3669,65.5343,104.68,357.27,670.4672,110.2662,1221.27,104.35,439.564,185.03,183.4009,175.0785,30.2688,115.94,81.83,436.157,771.17,44.4392,86.86,76.4095,51.395,210.88,33.54,94.6783,78.3558,177.66,120.2206,189.35,394.41,65.9912,35.2758,114.4696,52.7,106.72,51.95,167.2536,40.5135,180.7561,50.9125,129.2558,487,58.63,66.2661,156.7562,70.08,77.23,42.3671,31.7379,310.85,56.3501,290.08,73.67,59.24,194.4184,69.3487,77.78,127.52,164.25,266.67,114.28,150.37,14.91,,208.002,224.01,38.0822,14456.22
2023-01-30,143.437,243.9108,19.1721,59.13,100.55,147.06,166.66,96.94,97.95,505.039,353.11,72.45,363.42,171.663,327.5246,133.1613,146.98,49.4912,176.8395,108.7392,418.762,255.271,40.1527,28.6016,242.23,207.8168,2436.98,62.107,319.98,482.3354,170.5224,736.46,390.3403,157.63,224.3792,84.9795,65.6558,97.15,349.88,653.3085,109.6392,1161.8,101.37,438.327,180.74,181.3198,171.935,30.0675,109.48,79.64,425.477,789.63,42.1695,82.6665,75.1317,51.185,209.12,33.145,94.4748,76.3384,176.48,119.7325,180.87,390.94,66.3034,35.2961,116.1507,51.05,105.49,49.22,161.2859,41.2076,180.0136,50.0816,129.3762,482.95,56.56,65.8224,150.9204,71.5,73.84,42.4281,31.454,302.59,56.5853,285.94,71.02,57.51,195.1627,69.0143,77.9,122.6,156.94,261.56,112.66,148.85,14.38,,204.182,210.41,37.4265,14155.5
2023-01-31,144.731,249.036,19.5473,59.492,103.13,148.97,173.22,98.84,99.87,512.926,353.86,75.15,370.34,173.223,333.48,134.7597,149.31,49.9531,181.007,112.0456,425.016,256.093,40.2652,28.9188,245.69,210.5436,2434.1,60.6879,323.1,503.9716,173.0863,758.47,395.1732,158.64,227.8707,85.581,66.2633,97.98,353.75,663.887,110.3876,1181.69,105.9,446.068,182.83,186.1993,174.9278,31.114,111.11,81.49,428.763,792.35,43.3345,85.636,75.4978,52.04,215.16,33.305,95.5837,78.2953,181.43,118.9226,176.06,384.31,65.8301,35.8654,117.3356,52.34,107.09,50.7,166.9781,41.371,182.4016,51.2164,129.0652,480.5,57.92,67.3149,151.7304,69.52,74.81,42.8753,32.1841,306.88,57.5059,290.9,73.45,59.28,197.1744,69.6933,77.9,124.16,161.62,266.36,113.23,150.18,14.82,,208.167,214.21,37.7646,14380.74
2023-02-01,145.874,254.0004,20.9541,61.296,105.15,153.12,181.41,100.43,101.43,519.72,361.99,84.64,383.92,173.77,333.6211,140.0707,150.97,49.8504,186.0017,119.603,437.968,250.015,40.8997,29.7477,251.19,208.7661,2445.74,63.0027,317.27,534.3651,178.2546,758,412.5818,159.72,228.7991,85.6422,67.5696,102.98,367.05,681.6586,111.2473,1214.29,110.5,448.702,188.89,195.928,176.1129,31.7883,113.99,82.91,435.956,807.93,46.3171,85.6862,76.9137,52.02,222.19,34.755,96.2856,81.866,185.325,119.2546,174.3,398.68,64.0073,35.9264,119.2092,53.09,107.71,52.31,184.205,41.3812,184.7796,52.9388,117.1095,483.2,58.91,69.4226,148.854,70.01,82.7,42.9871,32.4376,315.71,57.956,291.6,77.84,63.19,200.3428,70.5446,79.01,131.52,170.31,274.39,112.25,153.54,15.36,,210.421,228.17,38.0924,14691.33
2023-02-02,151.281,265.9091,21.7205,61.603,112.91,188.77,188.27,107.74,108.8,526.162,366.89,88.31,392.23,172.159,334.5985,137.4304,146.95,50.6202,188.6779,124.8792,454.67,250.137,42.0662,30.8938,260.9,209.4327,2454.69,63.5764,303.78,545.2286,180.9901,751.2,417.1026,162.55,231.0798,82.9812,67.4987,99.61,368.59,699.7617,110.3977,1226.58,115.93,447.143,189.22,198.1708,176.9264,32.8448,118.52,86.96,434.59,805.66,48.9684,85.606,77.0863,51.29,228.22,34.875,96.1838,85.2654,190.98,116.8095,176.35,412.25,63.5944,35.7943,122.136,53.845,108.03,57.01,186.1041,40.8198,187.6492,56.3967,116.3372,504.22,63.81,71.258,142.8521,70.65,86.97,42.5704,31.8292,322.76,57.5059,287.52,82.12,64.79,203.2597,70.4939,80.01,141.35,182.41,282.5,114.72,157.02,15.92,,218.604,245.86,38.6354,15214.71
2023-02-03,154.972,259.6281,21.1111,60.775,103.39,186.53,189.98,104.78,105.22,517.487,365.9,86.09,379.33,171.298,326.0837,136.5907,145.19,49.912,186.1958,120.5779,426.112,248.757,40.8997,31.0268,254.68,204.6963,2455.07,62.8115,301.02,533.3473,180.5056,783.13,411.0715,159.72,227.3662,86.152,66.7393,95.65,361.44,682.7536,105.4923,1187.25,113.56,444.741,185.85,192.9074,175.1789,32.4725,118.7,85.52,432.37,794.84,46.7791,83.4691,76.0987,50.9,223.66,34.32,93.7017,86.0824,185.85,116.0348,173.25,406.3,63.8865,35.7333,120.0903,53,108.43,53.1,185.9036,40.1971,180.716,55.2849,114.261,482.41,59.04,68.7974,143.714,70.55,79.46,41.5643,32.0016,319.42,57.1479,283.63,80.89,63.25,202.2538,68.8927,76.58,134.99,169.3,275.23,109.28,149.91,15.42,,208.225,221.98,38.0002,14941.88
2023-02-06,152.194,258.0403,21.1001,61.149,102.18,186.06,194.76,102.9,103.47,518.281,361.48,83.68,375.23,174.033,325.338,134.4764,141.97,48.8241,184.8782,118.2765,417.294,247.418,40.429,29.7323,248.98,206.0596,2469.95,60.3658,304.87,524.9831,179.2236,780.86,408.3732,156.23,225.5094,88.0484,67.0025,93.81,359.97,666.2791,106.2205,1175.44,109.42,441.213,185.91,189.2907,173.0599,32.2511,118.35,82.33,432.108,809.45,45.2225,83.5293,76.2782,51.41,218.34,34.025,94.0984,85.2048,183.73,116.4272,170.27,404.59,63.967,35.8044,118.1458,51.99,106.73,52.34,185.1821,40.7585,177.5253,54.2852,112.5259,485.53,59.68,67.3956,142.3848,71.86,76.96,41.6253,32.2974,311.32,56.3296,288.28,80.4,61.49,201.2279,69.7237,75.73,133.05,172.37,272.43,105.56,150.97,15.4,,202.822,218.44,37.1704,14814.48
2023-02-07,155.123,268.8837,22.1847,62.486,102.11,191.62,196.81,107.64,108.04,519.226,362.95,85.91,383.82,173.77,339.7074,138.2194,142.99,49.1012,187.4215,121.1206,430.044,247.57,40.5927,30.1054,253.06,207.5038,2487.19,62.5297,308.54,537.3682,182.7263,769.94,419.6903,159.7,228.8395,87.7323,65.8988,94.45,366.75,683.1382,108.0462,1173.81,114.59,445.394,188.33,195.2208,176.1732,32.4926,119.69,83.23,436.599,801.02,46.98,86.2079,76.1746,51.255,223.65,34.445,93.8746,87.2727,191.75,115.1996,171.06,402.61,64.7425,35.7841,119.3712,53.78,109.5,52.7,183.2429,40.3604,178.4685,54.5504,114.5218,507.68,60.02,68.0915,149.0721,71.63,80.32,41.483,33.1747,319.1,55.9,291.43,85.53,63,200.4534,69.8048,77.855,138.06,181.16,277.09,113.85,150.37,15.33,,209.663,224.42,37.6416,15127.97
2023-02-08,152.384,268.0496,22.2167,61.191,100.05,183.43,201.29,99.37,100,506.44,366.83,84.69,378.36,173.365,336.8154,133.7076,143.81,48.198,180.2817,116.5278,424.081,243.714,39.6615,29.266,248.85,204.2216,2425.08,60.6376,293.33,521.9195,179.4356,749.66,407.3159,166.14,226.024,87.3449,65.6052,92.43,360.6,667.1045,107.5152,1166.9,114.48,442.037,185.45,189.8766,174.7571,32.1505,116.36,79.72,429.928,787.36,45.2928,84.6128,74.5412,51.045,221.32,34.395,91.9418,85.5276,188.73,115.1996,164.34,403.3,64.813,35.4486,117.1939,59.64,109.84,51.75,183.3432,39.8807,178.3079,53.7242,113.0374,497.43,62.38,66.8611,149.8301,70.17,82.66,40.8936,33.2257,309.28,56.4217,285.45,83.6,62.72,202.8372,68.761,76.51,137.63,175.65,272.36,110.45,150.53,14.56,,192.909,222.63,37.4572,14851.61
2023-02-09,151.331,264.9242,22.3488,60.957,98.24,177.92,207.32,95.01,95.46,503.243,362.5,83.21,375.81,175.005,335.1225,132.0485,142.85,47.9619,178.7394,116.6584,422.07,243.512,38.7815,28.7374,244.18,201.1919,2436.12,60.5671,291.6,519.511,180.2028,744.77,406.5105,166.13,225.9534,87.2021,65.0989,93.88,363.71,668.4532,107.7984,1143.65,113.42,440.388,186.27,191.7961,175.6509,31.3254,114.94,78.42,430.682,817,45.3028,84.693,75.6394,51.425,224.65,34.61,90.8533,85.6285,189.77,115.7329,164.48,393.77,67.8945,35.4486,115.9906,57.82,107.24,49.88,177.8814,39.6969,176.8129,53.204,112.1247,486.74,61.85,67.1939,146.9018,68.41,83.4,40.6395,32.8279,310.45,56.2989,287,84.75,64.9,204.5472,68.2238,75.79,139.06,171.15,271.42,110.88,149.06,14.37,,190.343,220.8,36.6888,14717.11
2023-02-10,151.702,264.4016,21.2762,60.33,97.61,174.15,196.89,94.57,94.86,502.6,347.36,81.48,370.99,178.47,334.5884,130.4906,143.7,48.5059,179.5565,115.3419,415.815,246.048,39.2522,28.81,245.27,202.4543,2348.37,60.2048,297.4,508.9096,180.1422,757.61,399.7041,165.25,227.8808,88.395,66.3241,92.45,359.11,660.6225,108.8555,1104.95,108.96,445.183,183.8,188.3814,172.1058,31.7681,108.87,80.8,429.416,825.32,44.7404,87.0907,75.6186,51.4,222.8,33.95,92.9788,83.3186,186.85,115.8939,169.28,396.94,69.3648,35.8654,116.4699,59.61,117.89,48.69,174.875,40.4523,177.3748,53.153,112.1347,485.73,57.72,67.2847,155.0221,69.24,80.52,41.3712,33.5828,309.4,55.8591,286.3,83.8,64.59,206.8405,69.3994,75.96,133.87,172.23,267.04,111.1,147.04,14.22,,191.043,210.7,37.447,14629.39
